,0
TotalCharges,0.18811395862884672
MonthlyCharges,0.17897161095571498
tenure,0.1570344806529922
Contract,0.07697698644989573
PaymentMethod,0.050554474830409334
OnlineSecurity,0.05015398353725684
TechSupport,0.04120824959272368
gender,0.027900833812251575
InternetService,0.027594479815559604
OnlineBackup,0.02686457995022539
PaperlessBilling,0.026372161538269833
MultipleLines,0.02364576887919408
Partner,0.022734420793556417
DeviceProtection,0.021659316628957554
SeniorCitizen,0.020976627175874903
Dependents,0.01957844863709803
StreamingMovies,0.017606691088167016
StreamingTV,0.016968421504649958
PhoneService,0.005084505528356172
